Model,Precision,Recall,Threshold
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0015
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0016
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.0069,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
unet,0.007,1.0,0.0017
